Id,Sales
1,6388.077931339146
2,7413.1676723671835
3,8114.902277926053
4,6748.866077921805
5,7306.826491835013
6,6634.673505370825
7,7209.2434246431285
8,7452.787240182787
9,6356.88614132856
10,6507.949644042514
11,7336.010172228394
12,7404.007497485389
13,6825.956384058535
14,7021.18438845245
15,6455.727028803299
16,6346.951195471633
17,7153.528782057724
18,8408.590711330142
19,9004.353595928495
20,9368.122741547342
21,7313.379310246873
22,5971.225619332695
23,7018.013740781459
24,6008.919252002149
25,8706.68135260349
26,7865.24697923759
27,7862.011121800457
28,6990.521738730019
29,6085.052718145718
30,6868.77633711074
31,6542.141330374038
32,9042.263550478323
33,6686.791578796722
34,6602.190136755024
35,6108.179257232389
36,7781.232622297331
37,6611.5478448491995
38,7236.529977342599
39,6348.116804195986
40,7308.674362924484
41,7548.077258093436
42,6786.067846705391
43,7360.5228137487065
44,7266.919636408748
45,6555.995686552968
46,7013.22406101815
47,7316.554910226169
48,9803.949183727718
49,6519.193657144024
50,8374.215412338592
51,7299.436823522181
52,7086.581579570188
53,7193.910735754216
54,7762.003500398946
55,5836.242978620331
56,6107.0289201370115
57,7125.601158790237
58,6977.180109994827
59,7930.636373940061
60,7149.6243005236065
61,7063.406400640274
62,7492.236425811575
63,6704.697575209534
64,9242.301745675664
65,6733.193648460389
66,9180.82837101657
67,6401.7674177691615
68,6404.291272562116
69,7160.54065693189
70,6546.450708326185
71,6982.109351629446
72,7193.551277894781
73,7269.69083043508
74,6803.016070998302
75,6326.755928950359
76,7344.16425275191
77,6937.66103992286
78,7108.306286944088
79,6470.902633287424
80,7177.584231614833
81,8547.883418761034
82,7180.337859927127
83,6414.887617426361
84,6882.030757998618
85,6631.1215078011255
86,7235.881194741266
87,7566.781602015634
88,6511.982335721786
89,7730.460119184861
90,7122.826245123934
91,6706.355010868447
92,6818.868156461879
93,6839.865258161332
94,6563.9045329117735
95,6234.413317136882
96,6906.374782843312
97,7078.55613958888
98,6018.929782351285
99,6915.964513327005
100,6664.808194243614
101,6569.286561589984
102,6465.164253859144
103,7206.669410822069
104,6900.943132842077
105,7097.935625908231
106,6503.0619125756575
107,6659.046074732149
108,6751.449541940775
109,7708.326653834065
110,7616.978084142777
111,7188.41137569062
112,7575.809467220329
